ID,NAME
ST100SV,Volume (WM Parcellation) of RightNonWMHypoIntensities
ST101SV,Volume (WM Parcellation) of RightPallidum
ST102CV,Volume (Cortical Parcellation) of RightParacentral
ST102SA,Surface Area of RightParacentral
ST102TA,Cortical Thickness Average of RightParacentral
ST102TS,Cortical Thickness Standard Deviation of RightParacentral
ST103CV,Volume (Cortical Parcellation) of RightParahippocampal
ST103SA,Surface Area of RightParahippocampal
ST103TA,Cortical Thickness Average of RightParahippocampal
ST103TS,Cortical Thickness Standard Deviation of RightParahippocampal
ST104CV,Volume (Cortical Parcellation) of RightParsOpercularis
ST104SA,Surface Area of RightParsOpercularis
ST104TA,Cortical Thickness Average of RightParsOpercularis
ST104TS,Cortical Thickness Standard Deviation of RightParsOpercularis
ST105CV,Volume (Cortical Parcellation) of RightParsOrbitalis
ST105SA,Surface Area of RightParsOrbitalis
ST105TA,Cortical Thickness Average of RightParsOrbitalis
ST105TS,Cortical Thickness Standard Deviation of RightParsOrbitalis
ST106CV,Volume (Cortical Parcellation) of RightParsTriangularis
ST106SA,Surface Area of RightParsTriangularis
ST106TA,Cortical Thickness Average of RightParsTriangularis
ST106TS,Cortical Thickness Standard Deviation of RightParsTriangularis
ST107CV,Volume (Cortical Parcellation) of RightPericalcarine
ST107SA,Surface Area of RightPericalcarine
ST107TA,Cortical Thickness Average of RightPericalcarine
ST107TS,Cortical Thickness Standard Deviation of RightPericalcarine
ST108CV,Volume (Cortical Parcellation) of RightPostcentral
ST108SA,Surface Area of RightPostcentral
ST108TA,Cortical Thickness Average of RightPostcentral
ST108TS,Cortical Thickness Standard Deviation of RightPostcentral
ST109CV,Volume (Cortical Parcellation) of RightPosteriorCingulate
ST109SA,Surface Area of RightPosteriorCingulate
ST109TA,Cortical Thickness Average of RightPosteriorCingulate
ST109TS,Cortical Thickness Standard Deviation of RightPosteriorCingulate
ST10CV,Volume (Cortical Parcellation) of Icv
ST110CV,Volume (Cortical Parcellation) of RightPrecentral
ST110SA,Surface Area of RightPrecentral
ST110TA,Cortical Thickness Average of RightPrecentral
ST110TS,Cortical Thickness Standard Deviation of RightPrecentral
ST111CV,Volume (Cortical Parcellation) of RightPrecuneus
ST111SA,Surface Area of RightPrecuneus
ST111TA,Cortical Thickness Average of RightPrecuneus
ST111TS,Cortical Thickness Standard Deviation of RightPrecuneus
ST112SV,Volume (WM Parcellation) of RightPutamen
ST113CV,Volume (Cortical Parcellation) of RightRostralAnteriorCingulate
ST113SA,Surface Area of RightRostralAnteriorCingulate
ST113TA,Cortical Thickness Average of RightRostralAnteriorCingulate
ST113TS,Cortical Thickness Standard Deviation of RightRostralAnteriorCingulate
ST114CV,Volume (Cortical Parcellation) of RightRostralMiddleFrontal
ST114SA,Surface Area of RightRostralMiddleFrontal
ST114TA,Cortical Thickness Average of RightRostralMiddleFrontal
ST114TS,Cortical Thickness Standard Deviation of RightRostralMiddleFrontal
ST115CV,Volume (Cortical Parcellation) of RightSuperiorFrontal
ST115SA,Surface Area of RightSuperiorFrontal
ST115TA,Cortical Thickness Average of RightSuperiorFrontal
ST115TS,Cortical Thickness Standard Deviation of RightSuperiorFrontal
ST116CV,Volume (Cortical Parcellation) of RightSuperiorParietal
ST116SA,Surface Area of RightSuperiorParietal
ST116TA,Cortical Thickness Average of RightSuperiorParietal
ST116TS,Cortical Thickness Standard Deviation of RightSuperiorParietal
ST117CV,Volume (Cortical Parcellation) of RightSuperiorTemporal
ST117SA,Surface Area of RightSuperiorTemporal
ST117TA,Cortical Thickness Average of RightSuperiorTemporal
ST117TS,Cortical Thickness Standard Deviation of RightSuperiorTemporal
ST118CV,Volume (Cortical Parcellation) of RightSupramarginal
ST118SA,Surface Area of RightSupramarginal
ST118TA,Cortical Thickness Average of RightSupramarginal
ST118TS,Cortical Thickness Standard Deviation of RightSupramarginal
ST119CV,Volume (Cortical Parcellation) of RightTemporalPole
ST119SA,Surface Area of RightTemporalPole
ST119TA,Cortical Thickness Average of RightTemporalPole
ST119TS,Cortical Thickness Standard Deviation of RightTemporalPole
ST11SV,Volume (WM Parcellation) of LeftAccumbensArea
ST120SV,Volume (WM Parcellation) of RightThalamus
